"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A non-pheromone based intelligent swarm optimization technique in software test suite optimization","D. J. Mala; M. Kamalapriya; R. Shobana; V. Mohan","Thiagarajar College of Engineering, Madurai, Tamil Nadu, India; Thiagarajar College of Engineering, Madurai, Tamil Nadu, India; Thiagarajar College of Engineering, Madurai, Tamil Nadu, India; Thiagarajar College of Engineering, Madurai, Tamil Nadu, India","2009 International Conference on Intelligent Agent & Multi-Agent Systems","","2009","","","1","5","In our paper, we applied a non-pheromone based intelligent swarm optimization technique namely artificial bee colony optimization (ABC) for test suite optimization. Our approach is a population based algorithm, in which each test case represents a possible solution in the optimization problem and happiness value which is a heuristic introduced to each test case corresponds to the quality or fitness of the associated solution. The functionalities of three groups of bees are extended to three agents namely Search Agent, Selector Agent and Optimizer Agent to select efficient test cases among near infinite number of test cases. Because of the parallel behavior of these agents, the solution generation becomes faster and makes the approach an efficient one. Since, the test adequacy criterion we used is path coverage; the quality of the test cases is improved during each iteration to cover the paths in the software. Finally, we compared our approach with Ant Colony Optimization (ACO), a pheromone based optimization technique in test suite optimization and finalized that, ABC based approach has several advantages over ACO based optimization.","","978-1-4244-4710","10.1109/IAMA.2009.5228055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5228055","Software Testing;Test Optimization;ABC (Artificial Bee Colony) Optimization;Agents;Test adequacy criterion;ACO (Ant Colony Optimization)","Particle swarm optimization;Software testing;Ant colony optimization;System testing;Genetic algorithms;Artificial intelligence;Software quality;Neural networks;Educational institutions;Cost function","optimisation;program testing","nonpheromone based intelligent swarm optimization technique;software test suite optimization;artificial bee colony optimization;population based algorithm;search agent;selector agent;optimizer agent;test adequacy criterion;path coverage;ant colony optimization;pheromone based optimization technique","","12","8","","","","","","IEEE","IEEE Conferences"
"Incorporating varying requirement priorities and costs in test case prioritization for new and regression testing","K. Ramasamy; S. Arul Mary","Department of Information Technology, Bharathidasan Institute of Technology, Bharathidasan University, Trichy-24, Tamilnadu, India; Department of Information Technology, Bharathidasan Institute of Technology, Bharathidasan University, Trichy-24, Tamilnadu, India","2008 International Conference on Computing, Communication and Networking","","2008","","","1","9","Test case prioritization schedules the test cases in an order that increases the effectiveness in achieving some performance goals. One of the most important performance goals is the rate of fault detection. Test cases should run in an order that increases the possibility of fault detection and also that detects the most severe faults at the earliest in its testing life cycle. Test case prioritization techniques have proved to be beneficial for improving regression testing activities. While code coverage based prioritization techniques are found to be taken by most scholars, test case prioritization based on requirements in a cost effective manner has not been taken for study so far. Hence, in this paper, we propose to put forth a model for system level test case prioritization (TCP) from software requirement specification to improve user satisfaction with quality software that can also be cost effective and to improve the rate of severe fault detection. The proposed model prioritizes the system test cases based on the six factors: customer priority, changes in requirement, implementation complexity, usability, application flow and fault impact. The proposed prioritization technique is experimented in three phases with student projects and two sets of industrial projects and the results show convincingly that the proposed prioritization technique improves the rate of severe fault detection.","","978-1-4244-3594-4978-1-4244-3595","10.1109/ICCCNET.2008.4787662","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4787662","Fault severity;Rate of fault detection;Regression testing;Requirement weight;Requirement cost;Test case prioritization;system testing;customer satisfaction","Costs;Fault detection;System testing;Software testing;Software quality;Life testing;Usability;Application software;Software engineering;Job shop scheduling","formal specification;program testing;regression analysis;scheduling;software fault tolerance;software quality","varying requirement priorities;test case prioritization scheduling;regression testing;fault detection;code coverage based prioritization techniques;software requirement specification;user satisfaction;software quality;customer priority;implementation complexity;application flow;fault impact","","5","30","","","","","","IEEE","IEEE Conferences"
"Historical Value-Based Approach for Cost-Cognizant Test Case Prioritization to Improve the Effectiveness of Regression Testing","H. Park; H. Ryu; J. Baik","NA; NA; NA","2008 Second International Conference on Secure System Integration and Reliability Improvement","","2008","","","39","46","Regression testing has been used to support software testing activities and assure the acquirement of appropriate quality through several versions of a software program. Regression testing, however, is too expensive because it requires many test case executions, and the number of test cases increases sharply as the software evolves. In this paper, we propose the Historical Value-Based Approach, which is based on the use of historical information, to estimate the current cost and fault severity for cost-cognizant test case prioritization. We also conducted a controlled experiment to validate the proposed approach, the results of which proved the proposed approachpsilas usefulness. As a result of the proposed approach, software testers who perform regression testing are able to prioritize their test cases so that their effectiveness can be improved in terms of average percentage of fault detected per cost.","","978-0-7695-3266","10.1109/SSIRI.2008.52","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4579792","Test Case Prioritization;Regression Testing;Software Testing;Software Engineering","Testing;Software;Software systems;Fault detection;Software testing;Current measurement;Probability","program testing;quality assurance;software cost estimation;software fault tolerance;software quality","historical value-based approach;cost-cognizant test case prioritization;regression testing;software testing activity;software program quality assurance;software program version;software fault severity detection;software cost estimation","","20","22","","","","","","IEEE","IEEE Conferences"
"A stochastic combinatorial optimization model for test sequence optimization","S. Wang; Y. Ji; S. Yang","Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China","2009 ISECS International Colloquium on Computing, Communication, Control, and Management","","2009","2","","311","315","Traditional test sequence optimization methods for path testing have three problems: 1) fake test results may occur; 2) unnecessary repetitive tests may exist; 2) actual test coverage rate could be low. These problems are because the effects of the faults on the test sequence execution are not considered by traditional methods. To solve these problems, we defined a stochastic combinatorial optimization model in this paper. At the same time, we constructed a multistage dynamic combinatorial optimization model to solve it. In each stage, the stochastic optimization is transferred into a deterministic optimization and the faults are taken as the stage changing factors. Simulation results show that the effective test efficiency and test coverage rate are evidently increased by this stochastic combinatorial optimization model.","2154-9613;2154-963X","978-1-4244-4247","10.1109/CCCM.2009.5270436","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5270436","stochastic combinatorial optimization model;test sequence optimization;test efficiecy;test coverage rate","Stochastic processes;Software testing;System testing;Optimization methods;Mathematical model;Automatic control;Communication system control;Automation;Laboratories;Information science","combinatorial mathematics;optimisation;program testing;software quality;stochastic processes","stochastic combinatorial optimization model;test sequence optimization;path testing;fake test result;unnecessary repetitive test;test sequence execution;multistage dynamic combinatorial optimization model;deterministic optimization;software testing;software quality","","","12","","","","","","IEEE","IEEE Conferences"
"Applying Particle Swarm Optimization to Prioritizing Test Cases for Embedded Real Time Software Retesting","K. H. S. Hla; Y. Choi; J. S. Park","NA; NA; NA","2008 IEEE 8th International Conference on Computer and Information Technology Workshops","","2008","","","527","532","In recent years, complex embedded systems are used in every device that is infiltrating our daily lives. Since most of the embedded systems are multi-tasking real time systems, the task interleaving issues, dead lines and other factors needs software units retesting to follow the subsequence changes. Regression testing is used for the software maintenance that revalidates the old functionality of the software unit. Testing is one of the most complex and time-consuming activities, in which running of all combination of test cases in test suite may require a large amount of efforts. Test case prioritization techniques can take advantage that orders test cases, which attempts to increase effectiveness in regression testing. This paper proposes to use particle swarm optimization (PSO) algorithm to prioritize the test cases automatically based on the modified software units. Regarding to the recent investigations, PSO is a multi-object optimization technique that can find out the best positions of the objects. The goal is to prioritize the test cases to the new best order, based on modified software components, so that test cases, which have new higher priority, can be selected in the regression testing process. The empirical results show that by using the PSO algorithm, the test cases can be prioritized in the test suites with their new best positions effectively and efficiently.","","978-0-7695-3242-4978-0-7695-3239","10.1109/CIT.2008.Workshops.104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4568558","embedded system;real time software system;test case coverage;evolutionary structural testing;regression testing;particle swarm optimization","Particle swarm optimization;Software testing;Embedded software;Aerospace testing;System testing;Embedded system;Embedded computing;Real time systems;Aerospace engineering;Interleaved codes","embedded systems;multiprogramming;particle swarm optimisation;program testing;software maintenance","particle swarm optimization;embedded real time software retesting;complex embedded systems;multitasking real time systems;software units;regression testing;software maintenance;multiobject optimization technique","","14","13","","","","","","IEEE","IEEE Conferences"
"Automatic Test Data Generation Based on Ant Colony Optimization","K. Li; Z. Zhang; W. Liu","NA; NA; NA","2009 Fifth International Conference on Natural Computation","","2009","6","","216","220","Software testing is a crucial measure used to assure the quality of software. Path testing can detect bugs earlier because of it performs higher error coverage. This paper presents a model of generating test data based on an improved ant colony optimization and path coverage criteria. Experiments show that the algorithm has a better performance than other two algorithms and improve the efficiency of test data generation notably.","2157-9555;2157-9563","978-0-7695-3736","10.1109/ICNC.2009.239","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5367156","Automatic Test;Data Generation;Ant Colony Optimization;Path coverage criteria","Automatic testing;Ant colony optimization;Software testing;Educational institutions;Petroleum;Genetic algorithms;Scheduling algorithm;Data engineering;Software measurement;Software quality","automatic test pattern generation;automatic test software;optimisation;program testing;software quality","automatic test data generation;ant colony optimization;software testing;software quality;path testing;path coverage criteria","","8","10","","","","","","IEEE","IEEE Conferences"
"Model for optimizing software testing period using non homogenous poisson process based on cumulative test case prioritization","P. R. Srivastava","Computer Science and Information Systems Group, Birla Institute of Technology and Science (BITS) Pilani-333031, INDIA","TENCON 2008 - 2008 IEEE Region 10 Conference","","2008","","","1","6","Most of the software organizations has trouble when deciding the release dates their product. This difficulty is due to the fact that an under tested software could lead to many bugs propping up at the client side which would in turn lead to expensive bug-fixes and more importantly loss of customer goodwill. On the other hand, testing beyond certain time would lead to loss of revenue to the organization due to the dilution of the early bird advantage. The aim of our paper is optimizes the time and cost of entire software. In this paper we used non homogeneous Poisson process model based on cumulative priority. Our paper also tries to answer when to release any software.","2159-3442;2159-3450","978-1-4244-2408-5978-1-4244-2409","10.1109/TENCON.2008.4766422","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4766422","Non Homogenous Poisson Process;Cumulative Priority;Software Life Cycle Length;Software Release Time;Optimal Testing Policy","Software testing;Computer bugs;Cost function;Logic testing;Stochastic processes;System testing;Computer science;Information systems;Birds;Life testing","higher order statistics;program debugging;program testing;software cost estimation;stochastic processes","software testing period optimization;nonhomogenous Poisson process model;cumulative test case prioritization;software organization;software release date;software bug fixing;software cost optimization;software time optimization","","1","14","","","","","","IEEE","IEEE Conferences"
"Experimental Comparison of Code-Based and Model-Based Test Prioritization","B. Korel; G. Koutsogiannakis","NA; NA","2009 International Conference on Software Testing, Verification, and Validation Workshops","","2009","","","77","84","During regression testing, a modified system needs to beretested using the existing test suite. Since test suites may be very large, developers are interested in detecting faults in the system as early as possible. Test prioritization orders test cases for execution to increase potentially the chances of early fault detection during retesting. Code-based test prioritization methods are based on the source code of the system, whereas model-based test prioritization methods are based on system models. System modeling is a widely used technique to model state-based systems. Models can be used not only during software development but also during testing. In this paper, we briefly overview codebased and model-based test prioritization. In addition, we present an experimental study in which the code based test prioritization and the model-based test prioritization are compared.","","978-0-7695-3671-2978-1-4244-4356","10.1109/ICSTW.2009.45","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4976373","Test prioritization;Model Based Test Prioritization;Code Based Test Prioritization","System testing;Software testing;Fault detection;Modeling;Conferences;Computer science;USA Councils;Programming;Embedded system;Automata","program testing;software fault tolerance","code-based test prioritization;model-based test prioritization;regression testing;fault detection;software development","","10","25","","","","","","IEEE","IEEE Conferences"
"The impact of test case reduction and prioritization on software testing effectiveness","S. ur Rehman Khan; I. ur Rehman; S. U. R. Malik","Department of Computer Science COMSATS Institute of Information Technology Islamabad, Pakistan; Department of Computer Science COMSATS Institute of Information Technology Islamabad, Pakistan; Department of Computer Science COMSATS Institute of Information Technology Islamabad, Pakistan","2009 International Conference on Emerging Technologies","","2009","","","416","421","Software testing is critical but most expensive phase of Software Development Life Cycle (SDLC). Development organizations desire to thoroughly test the software. But this exhaustive testing is impractical due to resource constraints. A large number of test suites are generated using automated tools. But the real challenge is the selection of subset of test cases and/or high order test cases crucial to validate the System Under Test (SUT). Test case reduction and prioritization techniques help test manager to solve this problem at a little cost. In this paper, we investigate their impact on testing process effectiveness using previous empirical studies. The results indicate that these techniques improve the testing effectiveness significantly. At the end, a case study is presented that suggests different useful combinations of these techniques, which are helpful for different testing scenarios.","","978-1-4244-5630-7978-1-4244-5631","10.1109/ICET.2009.5353136","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5353136","Software testing;exhaustive testing;test case reduction;test case prioritization","Software testing;Costs;System testing;Automatic testing;Life testing;Computer science;Information technology;Programming;Standards development;Computer aided software engineering","program testing;software engineering","test case reduction;software testing;software development life cycle;prioritization techniques","","2","26","","","","","","IEEE","IEEE Conferences"
"Prioritizing User-Session-Based Test Cases for Web Applications Testing","S. Sampath; R. C. Bryce; G. Viswanath; V. Kandimalla; A. G. Koru","NA; NA; NA; NA; NA","2008 1st International Conference on Software Testing, Verification, and Validation","","2008","","","141","150","Web applications have rapidly become a critical part of business for many organizations. However, increased usage of Web applications has not been reciprocated with corresponding increases in reliability. Unique characteristics, such as quick turnaround time, coupled with growing popularity motivate the need for efficient and effective Web application testing strategies. In this paper, we propose several new test suite prioritization strategies for Web applications and examine whether these strategies can improve the rate of fault detection for three Web applications and their preexisting test suites. We prioritize test suites by test lengths, frequency of appearance of request sequences, and systematic coverage of parameter-values and their interactions. Experimental results show that the proposed prioritization criteria often improve the rate of fault detection of the test suites when compared to random ordering of test cases. In general, the best prioritization metrics either (1) consider frequency of appearance of sequences of requests or (2) systematically cover combinations of parameter-values as early as possible.","2159-4848","978-0-7695-3127","10.1109/ICST.2008.42","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4539541","web application testing;pair-wise interaction coverage;pair-wise interaction testing;user-session-based testing;test case prioritization","System testing;Fault detection;Software testing;Application software;Frequency;Information systems;Computer science;Robustness;Computer bugs;Web server","Internet;program testing;software fault tolerance","user-session-based test case;Web application testing;application reliability;test suite prioritization;fault detection;prioritization metrics;request sequence","","30","30","","","","","","IEEE","IEEE Conferences"
