Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Application of Decision Theory to the Testing of Large Systems,P. J. Wong,"Stanford Research Institute Menlo Park, Calif. 94025",IEEE Transactions on Aerospace and Electronic Systems,,1971,AES-7,2,379,384,"A methodology for determining priorities in allocating test resources among the various subsystems within a large system is described. The methodology is based on concepts from applied decision theory. Two versions of the methodology are presented: a complete version, called the extensive form, and an approximate version, called the diminutive form.",0018-9251;1557-9603;2371-9877,,10.1109/TAES.1971.310378,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4103708,,Decision theory;System testing;Aerospace testing;Hardware;Resource management;Software testing;Uncertainty;Software performance;Performance evaluation;Performance analysis,,,,2,7,,,,,,IEEE,IEEE Journals & Magazines
Multiaccess in a Nonqueueing Mailbox Environment,M. J. Ferguson,"INRS T??l??communications, Montreal, P.Q., Canada.",IEEE Transactions on Software Engineering,,1984,SE-10,3,237,243,"A new and flexible solution to the problem of multiple users accessing a single resource, such as communication bandwidth or composite object in memory, is derived. The means of communication consists of sending and receiving messages in known locations (or equivalently, mailboxes without queueing). Any particular user is able to deposit, and hence destroy, previous messages in a mailbox. It is assumed that exclusive access to a mailbox is supplied by an underlying system. The major results of this paper are: 1) a simple tree-based algorithm that guarantees ƒ?› no user or group of users can conspire to prevent access by some other user to the resource; ƒ?› only one user accesses the resource at a time; ƒ?› if there are N users, an individual user is guaranteed access, when requested, to the resource in no more than N-1 turns; Knuth's solution [6] can delay a user up to 2** (N-1)-1 turns; 2) an extension of Dekker's algorithm (2 users) [2] that allows the relative rates of reservations for access to the resource to be proportional to a set of N integers. When a reservation is not being used by its ``owner,'' it will be assigned to another contending request. The assignment is optimal for periodic requests.",0098-5589;1939-3520;2326-3881,,10.1109/TSE.1984.5010232,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5010232,Access reservation priorities;extension of Dekker's algorithm;mailbox communication environment;many user exclusive access;single resource multiaccess;single resource mutually exclusive access;tree-based multiaccess,Bandwidth;Broadcasting;Multiprocessing systems;System testing;Timing;Delay;Time of arrival estimation;Software testing,,,,2,6,,,,,,IEEE,IEEE Journals & Magazines
Practical Priorities in System Testing,N. H. Petschenik,"Bell Communications Research, Inc",IEEE Software,,1985,2,5,18,23,"During the system test phase, ""thorough testing"" can pass the limits of practicality. Test case selection, based on simple priority rules, is one solution to the problem of practicality vs. thoroughness.",0740-7459;1937-4194,,10.1109/MS.1985.231755,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1695401,,System testing;Software testing;Size measurement;Application software;Centralized control;Control systems;Central office;Manuals,,,,16,11,,,,,,IEEE,IEEE Journals & Magazines
Testing and Evaluation of the Defense Data Network,T. R. Dalton; J. Downey; T. L. Hahler,"Intermetrics, Inc., 733 Concord Avenue, Cambridge, MA 02138; Intermetrics, Inc., 733 Concord Avenue, Cambridge, MA 02138; Intermetrics, Inc., 733 Concord Avenue, Cambridge, MA 02138",MILCOM 1987 - IEEE Military Communications Conference - Crisis Communications: The Promise and Reality,,1987,2,,398,403,"The purpose of this document is to establish a concept for test and evaluation (T&E) for the Defense Data Network (DDN) as a whole. This concept is based on the requirements of the DDN in its evolving configurations (e.g., MILNET, SACDIN, DODIIS, ..., DDN); the goals and priorities of the DDN DCS DSD; the needs of the various DDN user communities; knowledge of the ARPANET technology; and experience in T&E of systems and independent verification, validation, and test (IVV&T) of software and hardware. Since 1983 Intermetrics has been a contractor for Independent Validation and Verification (IV&V) support to the Testing branch of the Defense Data Network Defense Communications System Data Systems Directorate (DDN DCS DSD).",,,10.1109/MILCOM.1987.4795240,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4795240,,System testing;Software testing;Distributed control;Performance evaluation;Hardware;Data systems;ARPANET;Time factors;Government;Feedback,,,,,,,,,,,IEEE,IEEE Conferences
Formal methods and iterative design,A. F. Monk,"Dept. of Psychol., York Univ., UK",IEE Colloquium on Formal Methods and Human-Computer Interaction: II,,1988,,,1-Jan,4-Jan,"Formal methods allow a system designer to describe precisely how the system will be. In the area of human-computer interaction this means describing the structure and detail of the user interface. Giving the designer tools to think clearly about the decisions made must be helpful. However, the problem of deciding how the user interface is to be designed remains. In particular, to use such tools effectively a designer must have a good understanding of how the users think about the task, what their expectations and priorities are. This kind of information is best obtained by user testing with prototypes. An initial design is put forward and then refined using feedback from typical users doing typical tasks with a prototype. This refinement should happen in parallel with the refinement of a formal model of the user interface by the application of domain independent principles. In the early stages the cost of this procedure can be minimised by using simulations and mock ups rather than full prototypes. This is known as iterative design. This paper describes, through an example, some techniques which can be used to get insights about how a user approaches a task and the difficulties they have with a particular prototype.<<ETX>>",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=209309,,Software engineering;User interfaces,software engineering;user interfaces,formal methods;user expectations;user priorities;iterative design;human-computer interaction;user interface;user testing;prototypes;feedback;refinement;formal model;domain independent principles;simulations;mock ups,,,,,,,,,IET,IET Conferences
Real-time adaptive control of knowledge based avionics tasks,R. Cowin; H. F. Krikorian,"Northrop Corp. Hawthorne, CA, USA; Northrop Corp. Hawthorne, CA, USA",Proceedings of the IEEE National Aerospace and Electronics Conference,,1989,,,1175,1184 vol.3,"Advanced decision-making capabilities are being developed to aid the pilots of the next generation of tactical fighters. Due to the limited processing resources available in an avionics suite, efforts have focused on developing a distributed fault-tolerant software architecture that permits the real-time prioritization and scheduling of these tasks. The authors outline the design details of an architecture under development to meet these performance requirements. The system has been tested with a threat-avoidance system, implemented on a testbed of five internetted LISP workstations, to evaluate overall system capabilities including scheduling, task operations, and database accesses. It has a simulation cycle of 50 ms and synchronization between distributed nodes can be achieved within 2 ms. This test case has nine knowledge tasks, one of which is defined as a simulation cycle that drives the test case. This system has been evaluated with the current trace capabilities and runs with a peak of 16 task instances active at any time.<<ETX>>",,,10.1109/NAECON.1989.40357,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=40357,,Adaptive control;Aerospace electronics;System testing;Decision making;Fault tolerance;Software architecture;Computer architecture;Internet;Workstations;Databases,adaptive control;aerospace computer control;aerospace testing;fault tolerant computing;knowledge based systems;military systems;real-time systems;scheduling,real-time adaptive control;knowledge based avionics tasks;distributed fault-tolerant software architecture;threat-avoidance system;scheduling;task operations;database accesses;simulation cycle,,1,5,,,,,,IEEE,IEEE Conferences
Group decision support and multiple criteria optimization,P. H. Iz,"Dept. of Inf. & Quantitative Sci., Baltimore Univ., MD, USA",Proceedings of the Twenty-Fourth Annual Hawaii International Conference on System Sciences,,1991,iii,,678,686 vol.3,The paper proposes a structured group decision aid based on multiple criteria optimization. The procedure is designed to solve optimization problems which involve conflicting objectives and multiple decision-makers with different priorities. Most of the empirical findings regarding the performance of multi criteria techniques involve a single decision-maker. The focus in these algorithms is on determining a compromise solution to a multicriteria problem which best coincides with the preference structure of a decision-maker. The approach taken is to imbed the task of finding a compromise solution in a more general and flexible framework. The underlying concept in this framework is the analytic hierarchy process and the Tchebycheff algorithm is used to solve the multiple criteria problem. The objectives and the alternative solutions to the multiple criteria problem are evaluated through the analytic hierarchy process.<<ETX>>,,,10.1109/HICSS.1991.184201,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=184201,,Decision making;Design optimization;Algorithm design and analysis;Delta modulation;Testing;Aggregates;Spine;Mathematical programming;Application software;Linear programming,decision support systems;groupware;management science;optimisation,Chebychev algorithm;multiple criteria optimization;structured group decision aid;conflicting objectives;multiple decision-makers;compromise solution;preference structure;analytic hierarchy process;Tchebycheff algorithm,,2,33,,,,,,IEEE,IEEE Conferences
Setting maintenance quality objectives and prioritizing maintenance work by using quality metrics,N. F. Schneidewind,"Naval Postgraduate Sch., Monterey, CA, USA",Proceedings. Conference on Software Maintenance 1991,,1991,,,240,249,"Metrics that are collected and validated during development can be used during maintenance to control quality and prioritize maintenance work. Validity criteria are defined mathematically. The approach is based on validating selected metrics against related quality factors during development and using the validated metrics during maintenance to: establish initial quality objectives and quality control criteria and prioritize software components (e.g., module) and allocate resources to maintain them. The author illustrates both a case of passing a validation test (discriminative power) and failing a validation test (tracking).<<ETX>>",,0-8186-2325,10.1109/ICSM.1991.160337,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=160337,,Software quality;Resource management;Software maintenance;Q factor;Quality control;Testing;Gain measurement;Software measurement;Power measurement;Financial management,quality control;resource allocation;software maintenance;software metrics;software reliability,maintenance quality objectives;quality metrics;maintenance work;selected metrics;related quality factors;validated metrics;initial quality objectives;quality control criteria;software components;validation test;discriminative power;tracking,,1,14,,,,,,IEEE,IEEE Conferences
Specification criticism via goal-directed envisionment,K. Downing; S. Fickas,"Dept. of Comput. Sci., Linkoping Univ., Sweden; NA",Proceedings of the Sixth International Workshop on Software Specification and Design,,1991,,,22,30,"Validating a complex system specification is a difficult problem. Generating behaviors and using them to critique a specification is one effective approach. Up until now, symbolic evaluation has been the key technique of behavior generation. Unfortunately, it has drawbacks both in the amount of time it takes to complete a symbolic run, and in the large amount of uninteresting data it produces. The authors propose goal-directed envisionment as an alternative to symbolic evaluation, supplementing the basic envisioning techniques of qualitative physics with behavioral goals. This approach overcomes the problems of symbolic evaluation by generating interpretations in a reasonable amount of time and by exploiting goals to prioritize and analyze the interpretations. The authors describe and evaluate SC, an implemented system which employs goal-directed envisionment to critique specifications.<<ETX>>",,0-8186-2320,10.1109/IWSSD.1991.213080,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=213080,,Automatic testing;Computer science;Physics;Interconnected systems;Buildings;Robustness;Feathers;Resource management;System testing;Storage automation,formal specification,specification criticism;complex system specification;symbolic evaluation;key technique;behavior generation;symbolic run;uninteresting data;goal-directed envisionment;basic envisioning techniques;qualitative physics;behavioral goals;SC;implemented system,,2,16,,,,,,IEEE,IEEE Conferences
Quality Function Deployment (QFD) in testing,A. Rahman,"IBM UK Labs. Ltd., Winchester, UK",IEE Colloquium on Automated Testing and Software Solutions,,1992,,,1-Jun,7-Jun,"QFD is a quality-oriented process that can play an important role in the market-driven, total quality control environment. It can be deployed in almost all areas of product development, test and manufacturing processes. QFD is one way to ensure the reliability of the software products. The author is concerned with the role that software testing can play in increasing the reliability of software. He also examines how Quality Function Deployment (QFD) could be used to achieve this objective. QFD provides integration of the various functions by tying design and process activities together. It priorities product and manufacturing-process characteristics and highlights areas which would require further analysis.<<ETX>>",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=168144,,Automatic testing;Quality control;Software reliability,automatic testing;quality control;software reliability,total quality control;reliability;software products;software testing,,,,,,,,,IET,IET Conferences
